基金全称,鹏华创新增长一年持有期混合型证券投资基金,基金简称,鹏华创新增长一年持有期混合A
基金代码,014313（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年04月27日,成立日期/规模,2022年06月21日 / 3.602亿份
资产规模,0.66亿元（截止至：2025年06月30日）份额规模0.4894亿份（截止至：2025年06月30日）,份额规模,0.4894亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,工商银行
基金经理人,金笑非,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
