基金全称,方正富邦中证500交易型开放式指数证券投资基金联接基金,基金简称,方正富邦中证500ETF联接C
基金代码,006657（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2019年03月04日,成立日期/规模,2019年03月26日 / 2.216亿份
资产规模,0.02亿元（截止至：2025年06月30日）份额规模0.0199亿份（截止至：2025年06月30日）,份额规模,0.0199亿份（截止至：2025年06月30日）
基金管理人,方正富邦基金,基金托管人,建设银行
基金经理人,于润泽,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.25%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×95%+银行人民币活期存款利率(税后)×5%,跟踪标的,中证500指数
