基金全称,融通价值趋势混合型证券投资基金,基金简称,融通价值趋势混合A
基金代码,010646（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年03月29日,成立日期/规模,2021年04月28日 / 2.468亿份
资产规模,0.69亿元（截止至：2025年09月30日）份额规模0.5352亿份（截止至：2025年09月30日）,份额规模,0.5352亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,招商银行
基金经理人,李进,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*55%+中证香港100指数收益率*20%+中国战略新兴产业成份指数收益率*5%+中债综合全价(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
