基金全称,浙商汇金量化精选灵活配置混合型证券投资基金,基金简称,浙商汇金量化精选混合A
基金代码,006449（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2019年02月20日,成立日期/规模,2019年03月25日 / 2.850亿份
资产规模,1.04亿元（截止至：2025年06月30日）份额规模1.09亿份（截止至：2025年06月30日）,份额规模,1.09亿份（截止至：2025年06月30日）
基金管理人,浙商证券资管,基金托管人,农业银行
基金经理人,庞雅菁,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*50%+中债总财富指数收益率*50%,跟踪标的,该基金无跟踪标的
