基金全称,华富数字经济混合型证券投资基金,基金简称,华富数字经济混合A
基金代码,018358（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年05月22日,成立日期/规模,2023年06月20日 / 2.786亿份
资产规模,0.67亿元（截止至：2025年06月30日）份额规模0.6337亿份（截止至：2025年06月30日）,份额规模,0.6337亿份（截止至：2025年06月30日）
基金管理人,华富基金,基金托管人,建设银行
基金经理人,黄星霖,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证数字经济主题指数收益率*75%+恒生指数收益率(使用估值汇率调整)*5%+中债综合指数(全价)收益率*20%,跟踪标的,该基金无跟踪标的
