基金全称,鹏华增瑞灵活配置混合型证券投资基金(LOF),基金简称,鹏华增瑞混合(LOF)A
基金代码,160642（主代码）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年09月06日,成立日期/规模,2016年09月20日 / 8.065亿份
资产规模,0.78亿元（截止至：2025年06月30日）份额规模0.532亿份（截止至：2025年06月30日）,份额规模,0.532亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,工商银行
基金经理人,汪坤、陈大烨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*60%+中证综合债指数收益率*40%,跟踪标的,该基金无跟踪标的
