基金全称,国泰兴泽优选一年持有期混合型证券投资基金,基金简称,国泰兴泽优选一年持有期混合C
基金代码,012174（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年09月06日,成立日期/规模,2021年09月23日 / 18.474亿份
资产规模,3.36亿元（截止至：2025年06月30日）份额规模4.5077亿份（截止至：2025年06月30日）,份额规模,4.5077亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,兴业银行
基金经理人,程洲,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,沪深300指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*15%,跟踪标的,该基金无跟踪标的
