基金全称,嘉实上证科创板50成份指数增强型发起式证券投资基金,基金简称,嘉实上证科创板50指数增强发起式A
基金代码,017188（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年12月12日,成立日期/规模,2022年12月20日 / 0.122亿份
资产规模,0.92亿元（截止至：2025年06月30日）份额规模0.8521亿份（截止至：2025年06月30日）,份额规模,0.8521亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,招商银行
基金经理人,刘斌,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）
业绩比较基准,上证科创板50成份指数收益率*95%+银行活期存款税后利率*5%,跟踪标的,上证科创板50成份指数
