基金全称,银华专精特新量化优选股票型发起式证券投资基金,基金简称,银华专精特新量化优选股票发起C
基金代码,014669（前端）基金类型股票型,基金类型,股票型
发行日期,2022年06月08日,成立日期/规模,2022年07月20日 / 0.411亿份
资产规模,0.22亿元（截止至：2025年06月30日）份额规模0.1799亿份（截止至：2025年06月30日）,份额规模,0.1799亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,工商银行
基金经理人,杨腾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证1000指数收益率*85%+商业银行活期存款利率(税后)*10%+中证港股通综合指数(人民币)收益率*5%,跟踪标的,该基金无跟踪标的
