基金全称,大成成长进取混合型证券投资基金,基金简称,大成成长进取混合C
基金代码,010372（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年11月11日,成立日期/规模,2020年11月30日 / 22.760亿份
资产规模,7.80亿元（截止至：2025年06月30日）份额规模6.6772亿份（截止至：2025年06月30日）,份额规模,6.6772亿份（截止至：2025年06月30日）
基金管理人,大成基金,基金托管人,农业银行
基金经理人,杜聪,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×70%+恒生指数收益率×10%+中债综合全价指数收益率×20%,跟踪标的,该基金无跟踪标的
