基金全称,中信建投品质优选一年持有期混合型证券投资基金,基金简称,中信建投品质优选一年持有C
基金代码,014017（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年03月10日,成立日期/规模,2022年03月28日 / 5.083亿份
资产规模,0.38亿元（截止至：2025年06月30日）份额规模0.2856亿份（截止至：2025年06月30日）,份额规模,0.2856亿份（截止至：2025年06月30日）
基金管理人,中信建投基金,基金托管人,中国银行
基金经理人,栾江伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,沪深300指数收益率*70%+恒生指数收益率(使用估值汇率折算)*10%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
