基金全称,华夏大盘精选证券投资基金,基金简称,华夏大盘精选混合C
基金代码,012628（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2021年06月15日,成立日期/规模,2021年06月15日 / --
资产规模,0.17亿元（截止至：2025年06月30日）份额规模0.0116亿份（截止至：2025年06月30日）,份额规模,0.0116亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,中国银行
基金经理人,屠环宇,成立来分红,每份累计0.45元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,新华富时中国A200指数*80%+新华富时中国国债指数*20%,跟踪标的,该基金无跟踪标的
