基金全称,中欧价值发现混合型证券投资基金,基金简称,中欧价值发现混合C
基金代码,004232（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2009年06月18日,成立日期/规模,2017年01月12日 / --
资产规模,2.29亿元（截止至：2025年06月30日）份额规模1.0508亿份（截止至：2025年06月30日）,份额规模,1.0508亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,建设银行
基金经理人,柳世庆,成立来分红,每份累计1.03元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,80%×沪深300指数+20%×上证国债指数,跟踪标的,该基金无跟踪标的
