基金全称,永赢数字经济智选混合型发起式证券投资基金,基金简称,永赢数字经济智选混合发起C
基金代码,018123（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年03月27日,成立日期/规模,2023年04月10日 / 0.188亿份
资产规模,18.34亿元（截止至：2025年06月30日）份额规模17.6099亿份（截止至：2025年06月30日）,份额规模,17.6099亿份（截止至：2025年06月30日）
基金管理人,永赢基金,基金托管人,浦发银行
基金经理人,王文龙,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证数字经济主题指数收益率*70%+中证港股通综合指数收益率(人民币)*10%+中债-综合指数(全价)收益率*20%,跟踪标的,该基金无跟踪标的
