基金全称,诺安稳健回报灵活配置混合型证券投资基金,基金简称,诺安稳健回报混合A
基金代码,000714（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2014年08月13日,成立日期/规模,2014年09月15日 / 6.372亿份
资产规模,1.66亿元（截止至：2025年06月30日）份额规模1.1216亿份（截止至：2025年06月30日）,份额规模,1.1216亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,工商银行
基金经理人,邓心怡,成立来分红,每份累计0.17元（4次）
管理费率,0.60%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数*60%+中证全债指数*40%,跟踪标的,该基金无跟踪标的
