基金全称,景顺长城中证1000指数增强型证券投资基金,基金简称,景顺长城中证1000指数增强C
基金代码,015496（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年04月11日,成立日期/规模,2022年04月27日 / 5.819亿份
资产规模,0.33亿元（截止至：2025年06月30日）份额规模0.2838亿份（截止至：2025年06月30日）,份额规模,0.2838亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,中信建投
基金经理人,黎海威、徐喻军,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.15%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证1000指数收益率*95%+商业银行活期存款利率(税后)*5%,跟踪标的,中证1000指数
