基金全称,南方高端装备混合型证券投资基金,基金简称,南方高端装备混合A
基金代码,202027（前端）、202028（后端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2012年08月27日,成立日期/规模,2012年09月25日 / 3.373亿份
资产规模,5.73亿元（截止至：2025年06月30日）份额规模2.6153亿份（截止至：2025年06月30日）,份额规模,2.6153亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,工商银行
基金经理人,张磊,成立来分红,每份累计0.86元（5次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证高端装备制造指数收益率*75%+中证港股通综合指数(人民币)收益率*5%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
