基金全称,东方创新科技混合型证券投资基金,基金简称,东方创新科技混合
基金代码,001702（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年08月06日,成立日期/规模,2015年09月08日 / 2.232亿份
资产规模,7.45亿元（截止至：2025年06月30日）份额规模3.9346亿份（截止至：2025年06月30日）,份额规模,3.9346亿份（截止至：2025年06月30日）
基金管理人,东方基金,基金托管人,建设银行
基金经理人,严凯,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,60%×沪深300指数收益率+40%×中债总全价指数收益率,跟踪标的,该基金无跟踪标的
