基金全称,东方阿尔法优势产业混合型发起式证券投资基金,基金简称,东方阿尔法优势产业混合A
基金代码,009644（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年06月08日,成立日期/规模,2020年06月28日 / 8.187亿份
资产规模,19.15亿元（截止至：2025年09月30日）份额规模9.2334亿份（截止至：2025年09月30日）,份额规模,9.2334亿份（截止至：2025年09月30日）
基金管理人,东方阿尔法基金,基金托管人,招商银行
基金经理人,唐雷,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*70%+中证综合债券指数收益率*30%,跟踪标的,该基金无跟踪标的
