基金全称,华夏中证人工智能主题交易型开放式指数证券投资基金发起式联接基金,基金简称,华夏人工智能ETF联接A
基金代码,008585（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年05月15日,成立日期/规模,2020年06月16日 / 8.640亿份
资产规模,11.33亿元（截止至：2025年06月30日）份额规模12.3225亿份（截止至：2025年06月30日）,份额规模,12.3225亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,中国银行
基金经理人,李俊,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,中证人工智能主题指数收益率*95%+人民币活期存款税后利率*5%,跟踪标的,中证人工智能主题指数
