基金全称,鹏华高端装备一年持有期混合型证券投资基金,基金简称,鹏华高端装备一年持有期混合A
基金代码,018611（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年05月29日,成立日期/规模,2023年07月11日 / 2.817亿份
资产规模,0.75亿元（截止至：2025年06月30日）份额规模0.6991亿份（截止至：2025年06月30日）,份额规模,0.6991亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,工商银行
基金经理人,杨飞,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证高端装备制造指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中债综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
