基金全称,诺安进取回报灵活配置混合型证券投资基金,基金简称,诺安进取回报混合
基金代码,001744（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年09月06日,成立日期/规模,2016年09月27日 / 3.817亿份
资产规模,2.30亿元（截止至：2025年06月30日）份额规模1.7103亿份（截止至：2025年06月30日）,份额规模,1.7103亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,民生银行
基金经理人,吴博俊、杨谷,成立来分红,每份累计0.03元（1次）
管理费率,1.20%（每年）,托管费率,0.15%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×60%+中证全债指数×40%,跟踪标的,该基金无跟踪标的
