基金全称,华泰柏瑞量化智慧灵活配置混合型证券投资基金,基金简称,华泰柏瑞量化智慧混合C
基金代码,006104（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年05月19日,成立日期/规模,2018年06月19日 / --
资产规模,0.43亿元（截止至：2025年06月30日）份额规模0.2568亿份（截止至：2025年06月30日）,份额规模,0.2568亿份（截止至：2025年06月30日）
基金管理人,华泰柏瑞基金,基金托管人,工商银行
基金经理人,笪篁,成立来分红,每份累计0.15元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.25%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,95%*中证500指数收益率+5%*银行活期存款利率(税后),跟踪标的,该基金无跟踪标的
