基金全称,鹏华领航一年持有期混合型证券投资基金,基金简称,鹏华领航一年持有混合C
基金代码,011575（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年05月24日,成立日期/规模,2021年06月22日 / 2.893亿份
资产规模,0.24亿元（截止至：2025年06月30日）份额规模0.2106亿份（截止至：2025年06月30日）,份额规模,0.2106亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,光大银行
基金经理人,刘玉江,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,沪深300指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率(经汇率调整)*10%,跟踪标的,该基金无跟踪标的
