基金全称,嘉实互融精选股票型证券投资基金,基金简称,嘉实互融精选股票A
基金代码,006603（前端）基金类型股票型,基金类型,股票型
发行日期,2018年11月23日,成立日期/规模,2019年02月28日 / 3.490亿份
资产规模,6.99亿元（截止至：2025年06月30日）份额规模3.7754亿份（截止至：2025年06月30日）,份额规模,3.7754亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,工商银行
基金经理人,郝淼,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,跟踪标的,该基金无跟踪标的
