基金全称,富安达产业优选混合型证券投资基金,基金简称,富安达产业优选混合C
基金代码,017049（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年11月28日,成立日期/规模,2023年03月01日 / 2.624亿份
资产规模,0.10亿元（截止至：2025年09月30日）份额规模0.0936亿份（截止至：2025年09月30日）,份额规模,0.0936亿份（截止至：2025年09月30日）
基金管理人,富安达基金,基金托管人,交通银行
基金经理人,杨红,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*70%+中债总指数收益率*30%,跟踪标的,该基金无跟踪标的
