基金全称,华安上证科创板新一代信息技术交易型开放式指数证券投资基金发起式联接基金,基金简称,华安上证科创板新一代信息技术ETF发起式联接A
基金代码,021474（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年05月21日,成立日期/规模,2024年06月07日 / 0.102亿份
资产规模,0.28亿元（截止至：2025年06月30日）份额规模0.1898亿份（截止至：2025年06月30日）,份额规模,0.1898亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,光大证券
基金经理人,苏卿云,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.50%（前端）
业绩比较基准,上证科创板新一代信息技术指数收益率*95%+商业银行税后活期存款利率*5%,跟踪标的,上证科创板新一代信息技术指数
