基金全称,工银瑞信战略新兴产业混合型证券投资基金,基金简称,工银战略新兴产业混合A
基金代码,006615（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年03月04日,成立日期/规模,2019年04月24日 / 7.761亿份
资产规模,5.25亿元（截止至：2025年06月30日）份额规模2.6139亿份（截止至：2025年06月30日）,份额规模,2.6139亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,中国银行
基金经理人,夏雨、马丽娜,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,75%×中证800指数收益率+25%×中债综合财富(总值)指数收益率,跟踪标的,该基金无跟踪标的
