基金全称,中欧时代先锋股票型发起式证券投资基金,基金简称,中欧时代先锋股票C
基金代码,004241（前端）基金类型股票型,基金类型,股票型
发行日期,2015年10月26日,成立日期/规模,2017年01月19日 / --
资产规模,18.26亿元（截止至：2025年06月30日）份额规模14.7933亿份（截止至：2025年06月30日）,份额规模,14.7933亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,工商银行
基金经理人,周蔚文、罗佳明,成立来分红,每份累计1.09元（11次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,90%×中证500指数收益率+10%×中证综合债券指数收益率,跟踪标的,该基金无跟踪标的
