基金全称,富国成长策略混合型证券投资基金,基金简称,富国成长策略混合A
基金代码,009892（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年08月06日,成立日期/规模,2020年08月11日 / 116.638亿份
资产规模,26.72亿元（截止至：2025年06月30日）份额规模26.1297亿份（截止至：2025年06月30日）,份额规模,26.1297亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,工商银行
基金经理人,许炎,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证500指数收益率×55%+恒生指数收益率(使用汇率估值折算)×25%+中债综合全价指数收益率×20%,跟踪标的,该基金无跟踪标的
