基金全称,汇添富中证1000指数增强型证券投资基金,基金简称,汇添富中证1000指数增强A
基金代码,017953（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年03月24日,成立日期/规模,2023年05月19日 / 4.653亿份
资产规模,2.70亿元（截止至：2025年06月30日）份额规模2.1973亿份（截止至：2025年06月30日）,份额规模,2.1973亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,建设银行
基金经理人,许一尊、王星星,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证1000指数收益率*95%+同期银行活期存款利率(税后)*5%,跟踪标的,中证1000指数
