基金全称,财通成长优选混合型证券投资基金,基金简称,财通成长优选混合C
基金代码,021528（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年06月11日,成立日期/规模,2024年05月28日 / --
资产规模,1.33亿元（截止至：2025年06月30日）份额规模1.2769亿份（截止至：2025年06月30日）,份额规模,1.2769亿份（截止至：2025年06月30日）
基金管理人,财通基金,基金托管人,工商银行
基金经理人,金梓才,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*55%+上证国债指数收益率*45%,跟踪标的,该基金无跟踪标的
