基金全称,富国均衡优选混合型证券投资基金,基金简称,富国均衡优选混合
基金代码,010662（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年01月04日,成立日期/规模,2021年01月06日 / 100.000亿份
资产规模,40.04亿元（截止至：2025年06月30日）份额规模44.3472亿份（截止至：2025年06月30日）,份额规模,44.3472亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,交通银行
基金经理人,杨栋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+恒生指数收益率(使用汇率估值折算)*20%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
