基金全称,金信转型创新成长灵活配置混合型发起式证券投资基金,基金简称,金信转型创新成长混合发起式C
基金代码,020384（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2023年12月18日,成立日期/规模,2023年12月20日 / --
资产规模,3.04亿元（截止至：2025年09月30日）份额规模1.0622亿份（截止至：2025年09月30日）,份额规模,1.0622亿份（截止至：2025年09月30日）
基金管理人,金信基金,基金托管人,招商银行
基金经理人,杨超、黄飙,成立来分红,每份累计0.37元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*65%+中证综合债指数收益率*35%,跟踪标的,该基金无跟踪标的
