基金全称,东兴未来价值灵活配置混合型证券投资基金,基金简称,东兴未来价值混合A
基金代码,004695（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2019年07月01日,成立日期/规模,2019年07月26日 / 2.101亿份
资产规模,0.16亿元（截止至：2025年06月30日）份额规模0.1256亿份（截止至：2025年06月30日）,份额规模,0.1256亿份（截止至：2025年06月30日）
基金管理人,东兴基金,基金托管人,兴业银行
基金经理人,张旭、李兵伟,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×60%+中债综合指数收益率×40%,跟踪标的,该基金无跟踪标的
