基金全称,西藏东财中证芯片产业交易型开放式指数证券投资基金发起式联接基金,基金简称,东财芯片A
基金代码,013445（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年09月06日,成立日期/规模,2021年09月16日 / 3.151亿份
资产规模,2.07亿元（截止至：2025年06月30日）份额规模2.3554亿份（截止至：2025年06月30日）,份额规模,2.3554亿份（截止至：2025年06月30日）
基金管理人,东财基金,基金托管人,兴业银行
基金经理人,姚楠燕,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.05%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证芯片产业指数
