基金全称,华夏远见成长一年持有期混合型证券投资基金,基金简称,华夏远见成长一年持有混合A
基金代码,016250（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年09月05日,成立日期/规模,2022年09月20日 / 13.916亿份
资产规模,6.22亿元（截止至：2025年06月30日）份额规模6.5077亿份（截止至：2025年06月30日）,份额规模,6.5077亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,平安银行
基金经理人,钟帅,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证500指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
