基金全称,国联安德盛精选混合型证券投资基金,基金简称,国联安精选混合
基金代码,257020（前端）、257021（后端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2005年11月24日,成立日期/规模,2005年12月28日 / 5.786亿份
资产规模,8.04亿元（截止至：2025年06月30日）份额规模10.5472亿份（截止至：2025年06月30日）,份额规模,10.5472亿份（截止至：2025年06月30日）
基金管理人,国联安基金,基金托管人,华夏银行
基金经理人,魏东,成立来分红,每份累计2.72元（19次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数×85% + 上证国债指数×15%,跟踪标的,该基金无跟踪标的
