基金全称,东方人工智能主题混合型证券投资基金,基金简称,东方人工智能主题混合A
基金代码,005844（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年05月04日,成立日期/规模,2018年06月07日 / 2.748亿份
资产规模,5.53亿元（截止至：2025年06月30日）份额规模5.0164亿份（截止至：2025年06月30日）,份额规模,5.0164亿份（截止至：2025年06月30日）
基金管理人,东方基金,基金托管人,农业银行
基金经理人,严凯,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证人工智能主题指数收益率*80%+银行活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
