基金全称,宏利价值优化型成长类行业混合型证券投资基金,基金简称,宏利成长混合
基金代码,162201（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2003年03月21日,成立日期/规模,2003年04月25日 / 10.217亿份
资产规模,11.33亿元（截止至：2025年06月30日）份额规模5.2385亿份（截止至：2025年06月30日）,份额规模,5.2385亿份（截止至：2025年06月30日）
基金管理人,宏利基金,基金托管人,交通银行
基金经理人,孙硕,成立来分红,每份累计2.40元（14次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中信成长风格指数*65%+上证国债指数*35%,跟踪标的,该基金无跟踪标的
