基金全称,财通资管产业优选混合型发起式证券投资基金,基金简称,财通资管产业优选混合发起式C
基金代码,019120（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年11月27日,成立日期/规模,2023年12月13日 / 0.228亿份
资产规模,0.21亿元（截止至：2025年06月30日）份额规模0.1597亿份（截止至：2025年06月30日）,份额规模,0.1597亿份（截止至：2025年06月30日）
基金管理人,财通资管,基金托管人,农业银行
基金经理人,李晶,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*75%+中债综合指数(全价)收益率*25%,跟踪标的,该基金无跟踪标的
