基金全称,银华科技创新混合型证券投资基金,基金简称,银华科技创新混合A
基金代码,008671（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年01月13日,成立日期/规模,2020年01月16日 / 9.885亿份
资产规模,2.48亿元（截止至：2025年06月30日）份额规模2.3563亿份（截止至：2025年06月30日）,份额规模,2.3563亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,建设银行
基金经理人,唐能,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*70%+中债综合财富指数收益率*30%,跟踪标的,该基金无跟踪标的
