基金全称,新华趋势领航混合型证券投资基金,基金简称,新华趋势领航混合
基金代码,519158（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2013年08月12日,成立日期/规模,2013年09月11日 / 7.576亿份
资产规模,2.18亿元（截止至：2025年06月30日）份额规模0.9231亿份（截止至：2025年06月30日）,份额规模,0.9231亿份（截止至：2025年06月30日）
基金管理人,新华基金,基金托管人,工商银行
基金经理人,赵强,成立来分红,每份累计1.26元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,80%×沪深300指数收益率 +20%×上证国债指数收益率,跟踪标的,该基金无跟踪标的
