基金全称,汇添富中证沪港深云计算产业交易型开放式指数证券投资基金联接基金,基金简称,汇添富中证沪港深云计算产业ETF联接A
基金代码,014543（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年12月20日,成立日期/规模,2021年12月28日 / 0.107亿份
资产规模,3.48亿元（截止至：2025年06月30日）份额规模2.9768亿份（截止至：2025年06月30日）,份额规模,2.9768亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,招商银行
基金经理人,乐无穹、何丽竹,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中证沪港深云计算产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证沪港深云计算产业人民币指数
