基金全称,交银施罗德荣鑫灵活配置混合型证券投资基金,基金简称,交银荣鑫灵活配置混合A
基金代码,519766（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年03月21日,成立日期/规模,2016年03月25日 / 9.890亿份
资产规模,0.97亿元（截止至：2025年06月30日）份额规模0.6219亿份（截止至：2025年06月30日）,份额规模,0.6219亿份（截止至：2025年06月30日）
基金管理人,交银施罗德基金,基金托管人,民生银行
基金经理人,余李平,成立来分红,每份累计0.04元（1次）
管理费率,0.60%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*50%+中债综合全价指数收益率*50%,跟踪标的,该基金无跟踪标的
