基金全称,东吴新趋势价值线灵活配置混合型证券投资基金,基金简称,东吴新趋势价值线混合
基金代码,001322（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年06月08日,成立日期/规模,2015年07月01日 / 15.090亿份
资产规模,7.31亿元（截止至：2025年06月30日）份额规模3.5266亿份（截止至：2025年06月30日）,份额规模,3.5266亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,农业银行
基金经理人,刘元海,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数×65%+中国债券综合全价指数×35%,跟踪标的,该基金无跟踪标的
