基金全称,天弘中证芯片产业交易型开放式指数证券投资基金发起式联接基金,基金简称,天弘中证芯片产业ETF发起式联接A
基金代码,012552（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年07月05日,成立日期/规模,2021年07月21日 / 0.653亿份
资产规模,2.09亿元（截止至：2025年06月30日）份额规模2.5723亿份（截止至：2025年06月30日）,份额规模,2.5723亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,光大证券
基金经理人,洪明华,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证芯片产业指数
