基金全称,信澳业绩驱动混合型证券投资基金,基金简称,信澳业绩驱动混合A
基金代码,016370（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年08月08日,成立日期/规模,2022年08月25日 / 2.458亿份
资产规模,0.70亿元（截止至：2025年06月30日）份额规模0.8376亿份（截止至：2025年06月30日）,份额规模,0.8376亿份（截止至：2025年06月30日）
基金管理人,信达澳亚基金,基金托管人,北京银行
基金经理人,刘小明,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*50%+中证港股通综合指数收益率*40%+银行活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
