基金全称,天弘高端制造混合型证券投资基金,基金简称,天弘高端制造混合C
基金代码,012569（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年07月02日,成立日期/规模,2021年07月14日 / 12.867亿份
资产规模,0.97亿元（截止至：2025年06月30日）份额规模1.197亿份（截止至：2025年06月30日）,份额规模,1.197亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,北京银行
基金经理人,李佳明,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证高端装备制造指数收益率*70%+恒生指数收益率(经汇率调整)*5%+中证全债指数收益率*25%,跟踪标的,该基金无跟踪标的
