基金全称,平安睿享文娱灵活配置混合型证券投资基金,基金简称,平安睿享文娱混合A
基金代码,002450（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年02月29日,成立日期/规模,2016年03月29日 / 3.999亿份
资产规模,7.76亿元（截止至：2025年09月30日）份额规模3.1559亿份（截止至：2025年09月30日）,份额规模,3.1559亿份（截止至：2025年09月30日）
基金管理人,平安基金,基金托管人,广发证券
基金经理人,黄维,成立来分红,每份累计0.80元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×50%+中证综合债指数收益率×50%,跟踪标的,该基金无跟踪标的
