基金全称,摩根核心成长股票型证券投资基金,基金简称,摩根核心成长股票A
基金代码,000457（前端）基金类型股票型,基金类型,股票型
发行日期,2014年01月02日,成立日期/规模,2014年02月10日 / 11.925亿份
资产规模,7.71亿元（截止至：2025年06月30日）份额规模3.1995亿份（截止至：2025年06月30日）,份额规模,3.1995亿份（截止至：2025年06月30日）
基金管理人,摩根基金(中国),基金托管人,中国银行
基金经理人,李博,成立来分红,每份累计0.31元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*85%+中债总指数收益率*15%,跟踪标的,该基金无跟踪标的
