基金全称,长盛盛世灵活配置混合型证券投资基金,基金简称,长盛盛世混合C
基金代码,002157（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年11月24日,成立日期/规模,2015年12月11日 / 3.822亿份
资产规模,0.16亿元（截止至：2025年09月30日）份额规模0.1034亿份（截止至：2025年09月30日）,份额规模,0.1034亿份（截止至：2025年09月30日）
基金管理人,长盛基金,基金托管人,建设银行
基金经理人,李琪、王远鸿,成立来分红,每份累计0.23元（4次）
管理费率,0.60%（每年）,托管费率,0.20%（每年）
销售服务费率,0.20%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,50%*沪深300指数收益率+50%*中证综合债指数收益率,跟踪标的,该基金无跟踪标的
