基金全称,摩根卓越制造股票型证券投资基金,基金简称,摩根卓越制造股票C
基金代码,015075（前端）基金类型股票型,基金类型,股票型
发行日期,2022年02月14日,成立日期/规模,2022年02月16日 / --
资产规模,0.01亿元（截止至：2025年06月30日）份额规模0.0061亿份（截止至：2025年06月30日）,份额规模,0.0061亿份（截止至：2025年06月30日）
基金管理人,摩根基金(中国),基金托管人,建设银行
基金经理人,赵隆隆,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,申万制造业指数收益率*85%+上证国债指数收益率*15%,跟踪标的,该基金无跟踪标的
