基金全称,中信建投策略精选混合型证券投资基金,基金简称,中信建投精选混合C
基金代码,007469（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年11月05日,成立日期/规模,2019年11月29日 / 3.495亿份
资产规模,2.27亿元（截止至：2025年06月30日）份额规模1.0838亿份（截止至：2025年06月30日）,份额规模,1.0838亿份（截止至：2025年06月30日）
基金管理人,中信建投基金,基金托管人,工商银行
基金经理人,栾江伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*70%+中证综合债指数收益率*30%,跟踪标的,该基金无跟踪标的
