基金全称,泰康沪港深价值优选灵活配置混合型证券投资基金,基金简称,泰康沪港深价值优选混合
基金代码,003580（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年11月21日,成立日期/规模,2016年12月29日 / 2.231亿份
资产规模,0.88亿元（截止至：2025年06月30日）份额规模0.5891亿份（截止至：2025年06月30日）,份额规模,0.5891亿份（截止至：2025年06月30日）
基金管理人,泰康基金,基金托管人,农业银行
基金经理人,黄成扬,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,恒生指数收益率*75%+沪深300指数收益率*5%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
