基金全称,中欧电子信息产业沪港深股票型证券投资基金,基金简称,中欧电子信息产业沪港深股票A
基金代码,004616（前端）基金类型股票型,基金类型,股票型
发行日期,2017年05月22日,成立日期/规模,2017年07月07日 / 2.414亿份
资产规模,11.24亿元（截止至：2025年06月30日）份额规模4.481亿份（截止至：2025年06月30日）,份额规模,4.481亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,建设银行
基金经理人,刘金辉,成立来分红,每份累计0.07元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证TMT产业主题指数收益率×65%+恒生指数收益率×20%+中证综合债券指数收益率×15%,跟踪标的,该基金无跟踪标的
