基金全称,西藏东财创业板交易型开放式指数证券投资基金发起式联接基金,基金简称,东财创业板ETF发起式联接C
基金代码,009047（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年03月02日,成立日期/规模,2020年03月18日 / 2.532亿份
资产规模,1.54亿元（截止至：2025年06月30日）份额规模1.1844亿份（截止至：2025年06月30日）,份额规模,1.1844亿份（截止至：2025年06月30日）
基金管理人,东财基金,基金托管人,兴业银行
基金经理人,姚楠燕,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.25%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,创业板指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,创业板指数(价格)
