基金全称,工银瑞信新经济灵活配置混合型证券投资基金(QDII),基金简称,工银新经济混合(QDII)人民币A
基金代码,005699（前端）基金类型QDII-混合灵活,基金类型,QDII-混合灵活
发行日期,2018年03月26日,成立日期/规模,2018年05月10日 / 2.861亿份
资产规模,0.94亿元（截止至：2025年06月30日）份额规模0.7186亿份（截止至：2025年06月30日）,份额规模,0.7186亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,交通银行
基金经理人,赵蓓,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,恒生指数收益率*50%+中证海外(不含香港)内地股指数收益率*25%+人民币同期活期存款利率*25%,跟踪标的,该基金无跟踪标的
