基金全称,富国低碳新经济混合型证券投资基金,基金简称,富国低碳新经济混合A
基金代码,001985（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2015年11月19日,成立日期/规模,2015年12月18日 / 10.773亿份
资产规模,9.78亿元（截止至：2025年06月30日）份额规模3.8315亿份（截止至：2025年06月30日）,份额规模,3.8315亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,建设银行
基金经理人,杨栋,成立来分红,每份累计0.28元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率×60%+中债综合全价指数收益率×40%,跟踪标的,该基金无跟踪标的
