基金全称,中欧中证沪深港黄金产业股票指数发起式证券投资基金,基金简称,中欧中证沪深港黄金产业股票指数发起A
基金代码,021873（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年08月09日,成立日期/规模,2024年08月21日 / 0.104亿份
资产规模,0.36亿元（截止至：2025年09月30日）份额规模0.2262亿份（截止至：2025年09月30日）,份额规模,0.2262亿份（截止至：2025年09月30日）
基金管理人,中欧基金,基金托管人,招商银行
基金经理人,赵子衡,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中证沪深港黄金产业股票指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证沪深港黄金产业股票指数
