基金全称,博时科技驱动混合型证券投资基金,基金简称,博时科技驱动混合A
基金代码,021382（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年05月10日,成立日期/规模,2024年06月12日 / 2.081亿份
资产规模,0.08亿元（截止至：2025年06月30日）份额规模0.0677亿份（截止至：2025年06月30日）,份额规模,0.0677亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,农业银行
基金经理人,黄继晨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证TMT产业主题指数收益率*60%+中证港股通综合指数(CNY)收益率*25%+中债综合财富(总值)指数收益率*15%,跟踪标的,该基金无跟踪标的
