基金全称,宝盈科技30灵活配置混合型证券投资基金,基金简称,宝盈科技30混合
基金代码,000698（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2014年07月21日,成立日期/规模,2014年08月13日 / 12.915亿份
资产规模,10.44亿元（截止至：2025年06月30日）份额规模2.9644亿份（截止至：2025年06月30日）,份额规模,2.9644亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,农业银行
基金经理人,容志能,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率×60%+中证综合债券指数收益率×40%,跟踪标的,该基金无跟踪标的
