基金全称,东方红睿丰灵活配置混合型证券投资基金(LOF),基金简称,东方红睿丰混合
基金代码,169101（主代码）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2014年08月25日,成立日期/规模,2014年09月19日 / 16.102亿份
资产规模,17.51亿元（截止至：2025年06月30日）份额规模13.0261亿份（截止至：2025年06月30日）,份额规模,13.0261亿份（截止至：2025年06月30日）
基金管理人,东方红资产管理,基金托管人,招商银行
基金经理人,刘辉,成立来分红,每份累计0.90元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*70%+中国债券总指数收益率*30%,跟踪标的,该基金无跟踪标的
