基金全称,宝盈成长精选混合型证券投资基金,基金简称,宝盈成长精选混合C
基金代码,013896（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年11月08日,成立日期/规模,2021年12月01日 / 19.631亿份
资产规模,2.06亿元（截止至：2025年06月30日）份额规模2.4805亿份（截止至：2025年06月30日）,份额规模,2.4805亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,招商银行
基金经理人,李巍宇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+商业银行人民币活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
